x,y
2624043.0136958580,1128554.7807812500
2612972.0074806055,1127138.2843314288
2604933.6824037251,1124726.4374211365
2603030.0595303578,1122821.2019913322
2596809.3543168916,1120453.1628642334
2586795.9163646228,1117092.5952504277
2582027.5869816947,1112787.7414633087
2573918.0406621993,1109955.8236012910
2571785.4347748384,1115502.2114648635
2570570.2391201821,1121385.6236236782
2565783.4997179345,1135707.6779947523
2565306.1830127090,1139529.1679900102
2563397.3193309228,1145734.9570564358
2558146.5668140855,1149074.0911075866
2549074.4586817152,1151461.8840510193
2524720.5563391936,1156715.4585416217
2528547.6902819560,1161013.4589638612
2534269.1748985662,1163407.2989939309
2538488.0256757089,1171052.1603002457
2536294.9489219910,1175876.9291584261
2529986.1578132152,1180116.9447388002
2537620.2687432831,1189662.7413244098
2547640.0225415393,1196353.7083086488
2558150.3294457644,1208762.8676067733
2575341.8608057569,1219744.6456991364
2578871.4780859752,1222634.3468334486
2580029.8311262364,1223297.1075288737
2580591.0007661590,1224040.6304258301
2588232.9057190078,1224995.6669753829
2597780.8523798673,1224038.3459708788
2609711.6199351475,1221663.0503398282
2620223.6065856609,1239797.5912659513
2631201.3532869336,1236456.5087091061
2636935.8727347390,1237412.3851318019
2641235.6872829180,1246008.2515964771
2646008.5519807427,1250301.2799696540
2653168.9072676403,1249824.7695426578
2663197.1941769244,1253644.5126017104
2669883.6594410352,1259850.2344781780
2679005.4880634304,1257450.6497158308
2679126.8329352802,1257457.5030806861
